название;тип_лофт;телефон;сайт;ссылка
Graf-Studio (Граф-Студио). Зал Замок;Лофт, вечеринка, 120 м², 40 человек;+79586097164;N/A;https://www.reveltime.ru/venue/2798781?eventtype=vecherinka
Graf-Studio. Зал Кардинал (Граф-Студио);Лофт, вечеринка, 95 м², 50 человек;+79676932714;N/A;https://www.reveltime.ru/venue/3032736?eventtype=vecherinka
Graf-Studio. Зал Прованс (Граф-Студио);Лофт, вечеринка, 94 м², 30 человек;+79584055346;N/A;https://www.reveltime.ru/venue/2411839?eventtype=vecherinka
Graf-Studio. Зал Ренессанс (Граф-Студио);Лофт, вечеринка, 90 м², 50 человек;+79584610759;N/A;https://www.reveltime.ru/venue/2415611?eventtype=vecherinka
Graf-Studio. Зал Сцена (Граф-Студио);Лофт, вечеринка, 75 м², 30 человек;+79584055346;N/A;https://www.reveltime.ru/venue/2410104?eventtype=vecherinka
Graf-Studio. Зал Чердак (Граф-Студио);Лофт, вечеринка, 95 м², 25 человек;+79584630738;N/A;https://www.reveltime.ru/venue/2674303?eventtype=vecherinka
Graffiti Яркий и стильный лофт;Лофт, вечеринка, 50 м², 25 человек;;N/A;https://www.reveltime.ru/venue/3683579?eventtype=vecherinka
Graphite (Графит). Футуристический двухуровневый лофт;Лофт, вечеринка, 75 м², 40 человек;+79939054093;N/A;https://www.reveltime.ru/venue/5941268?eventtype=vecherinka
"Green&amp;White Loft (Зелёно-Белый Лофт)";Лофт, вечеринка, 100 м², 40 человек;+79164400130;N/A;https://www.reveltime.ru/venue/5308281?eventtype=vecherinka
"Grey Green by Space &amp; Place (Грэй Грин бай Спейс&amp;Плэйс). Светлое пространство в современном стиле";Лофт, вечеринка, 350 м², 200 человек;+79584974089;N/A;https://www.reveltime.ru/venue/7465927?eventtype=vecherinka
Hall 14. Атмосферный лофт с верандой;Лофт, вечеринка, 220 м², 50 человек;+79031888081;N/A;https://www.reveltime.ru/venue/5499756?eventtype=vecherinka
Hawaii House (Гавайи). Двухуровневый лофт в гавайском стиле;Лофт, вечеринка, 300 м², 150 человек;+79584974084;N/A;https://www.reveltime.ru/venue/4116659?eventtype=vecherinka
High Ground (Возвышенность). Вип-зал;Лофт, вечеринка, 15 м², 12 человек;+79676928564;N/A;https://www.reveltime.ru/venue/5282071?eventtype=vecherinka
